fighter_name,DOB,Height,Reach,Stance,Weight
Lyle Beerbohm,5-Feb-79,"5' 10""",,Southpaw,155 lbs.
Mirsad Bektic,16-Feb-91,"5' 8""","70""",Orthodox,145 lbs.
Diana Belbita,26-Jun-96,"5' 7""","68""",Orthodox,125 lbs.
Alan Belcher,24-Apr-84,"6' 2""","73""",Orthodox,185 lbs.
Vitor Belfort,1-Apr-77,"6' 0""","74""",Southpaw,185 lbs.
Danilo Belluardo,21-Jul-94,"6' 0""","74""",Southpaw,155 lbs.
Joey Beltran,8-Dec-81,"6' 1""","75""",Orthodox,185 lbs.
Marco Beltran,18-May-86,"5' 8""","69""",Orthodox,125 lbs.
Joseph Benavidez,31-Jul-84,"5' 4""","65""",Southpaw,125 lbs.
Mike Bencic,,"6' 0""",,Orthodox,215 lbs.
Dave Beneteau,,"6' 2""",,Orthodox,250 lbs.
Karla Benitez,,"5' 3""",,,113 lbs.
Gabriel Benitez,15-Jun-88,"5' 8""","71""",Southpaw,155 lbs.
Charles Bennett,23-Nov-79,"5' 8""",,Orthodox,155 lbs.
Josh Bennett,,"6' 4""",,Orthodox,259 lbs.
DeAnna Bennett,18-Nov-84,"5' 4""","68""",Orthodox,125 lbs.
Lance Benoist,26-Aug-88,"5' 11""","73""",Southpaw,170 lbs.
Joe Benoit,12-Mar-82,"5' 9""",,Orthodox,170 lbs.
Ryan Benoit,25-Aug-89,"5' 5""","68""",Orthodox,125 lbs.
Len Bentley,30-Nov-82,"5' 9""",,,155 lbs.
Steve Berger,20-May-73,"5' 11""",,Orthodox,170 lbs.
Kenneth Bergh,26-Jun-89,"6' 2""","76""",Orthodox,205 lbs.
Bret Bergmark,24-Nov-73,"5' 9""",,,170 lbs.
Keith Berish,14-Nov-85,"6' 0""","73""",Orthodox,205 lbs.
Dennis Bermudez,13-Dec-86,"5' 6""","66""",Orthodox,155 lbs.
Manny Bermudez,16-Jul-94,"5' 10""","71""",Orthodox,145 lbs.
Talita Bernardo,4-Mar-87,"5' 4""","68""",Orthodox,135 lbs.
Keith Berry,25-Oct-87,"6' 1""",,,185 lbs.
Dieusel Berto,,"5' 9""",,,200 lbs.
Edson Berto,5-Jul-83,"5' 6""",,Orthodox,155 lbs.
Allen Berube,25-Aug-74,"5' 8""",,Orthodox,155 lbs.
Anton Berzin,29-Sep-89,"6' 2""",,Orthodox,205 lbs.
Scott Bessac,,"6' 4""",,,245 lbs.
Matt Bessette,28-Dec-84,"5' 10""","70""",Orthodox,145 lbs.
Fernando Bettega,10-Mar-80,,,,170 lbs.
Arjan Bhullar,13-May-86,"6' 1""","75""",Orthodox,245 lbs.
Magomed Bibulatov,22-Aug-88,"5' 5""","65""",Orthodox,125 lbs.
David Bielkheden,6-Jun-79,"5' 10""","71""",Orthodox,155 lbs.
Jeremiah Billington,14-Nov-77,"5' 9""",,Orthodox,205 lbs.
Anthony Birchak,16-May-86,"5' 8""","69""",Orthodox,135 lbs.
Chris Birchler,5-Jun-87,"6' 3""","79""",Switch,205 lbs.
Michael Bisping,28-Feb-79,"6' 1""","75""",Orthodox,185 lbs.
Jan Blachowicz,24-Feb-83,"6' 2""","78""",Orthodox,205 lbs.
Jason Black,15-Jul-72,"5' 8""",,Orthodox,155 lbs.
Brad Blackburn,25-May-77,"5' 10""","73""",Orthodox,170 lbs.
Maximo Blanco,16-Oct-83,"5' 8""","71""",Orthodox,145 lbs.
David Blanco,,"5' 7""",,,145 lbs.
Curtis Blaydes,18-Feb-91,"6' 4""","80""",Orthodox,265 lbs.
Arlene Blencowe,11-Apr-83,"5' 5""",,,145 lbs.
Byron Bloodworth,16-Aug-83,"5' 8""","69""",Orthodox,135 lbs.
Dashawn Boatwright,29-Feb-88,"6' 0""",,Orthodox,205 lbs.
